-START-OF-DATA-	
2337.5	0.000542843
2338.5	0.000542842
2339.5	0.000542842
2340.5	0.000542844
2341.5	0.000542844
2342.5	0.000542842
2343.5	0.000542841
2344.5	0.000542842
2345.5	0.000542844
2346.5	0.000542844
2347.5	0.000542842
2348.5	0.000542842
2349.5	0.000542843
2350.5	0.000542845
2351.5	0.000542845
2352.5	0.000542843
2353.5	0.000542843
2354.5	0.000542844
2355.5	0.000542846
2356.5	0.000542846
2357.5	0.000542845
2358.5	0.000542844
2359.5	0.000542845
2360.5	0.000542847
2361.5	0.000542847
2362.5	0.000542845
2363.5	0.000542845
2364.5	0.000542846
2365.5	0.000542847
2366.5	0.000542847
2367.5	0.000542845
2368.5	0.000542845
2369.5	0.000542845
2370.5	0.000542846
2371.5	0.000542846
2372.5	0.000542844
2373.5	0.000542843
2374.5	0.000542844
2375.5	0.000542845
2376.5	0.000542847
2377.5	0.000542847
2378.5	0.000542846
2379.5	0.000542845
2380.5	0.000542846
2381.5	0.000542847
2382.5	0.000542847
2383.5	0.000542845
2384.5	0.000542845
2385.5	0.000542845
2386.5	0.000542846
2387.5	0.000542848
2388.5	0.000542848
2389.5	0.000542847
2390.5	0.000542846
2391.5	0.000542847
2392.5	0.000542848
2393.5	0.00054285
2394.5	0.000542851
2395.5	0.00054285
2396.5	0.00054285
2397.5	0.00054285
2398.5	0.000542852
2399.5	0.000542851
2400.5	0.00054285
2401.5	0.000542849
2402.5	0.000542849
2403.5	0.00054285
2404.5	0.000542851
2405.5	0.000542851
2406.5	0.000542849
2407.5	0.000542849
2408.5	0.000542849
2409.5	0.00054285
2410.5	0.000542851
2411.5	0.000542851
2412.5	0.00054285
2413.5	0.000542849
2414.5	0.000542849
2415.5	0.00054285
2416.5	0.000542851
2417.5	0.000542851
2418.5	0.000542849
2419.5	0.000542848
2420.5	0.000542848
2421.5	0.000542849
2422.5	0.000542851
2423.5	0.000542853
2424.5	0.000542853
2425.5	0.000542852
2426.5	0.000542852
2427.5	0.000542852
2428.5	0.000542852
2429.5	0.000542853
2430.5	0.000542853
2431.5	0.000542853
2432.5	0.000542853
2433.5	0.000542853
2434.5	0.000542853
2435.5	0.000542854
2436.5	0.000542854
2437.5	0.000542854
2438.5	0.000542854
2439.5	0.000542855
2440.5	0.000542855
2441.5	0.000542855
2442.5	0.000542856
2443.5	0.000542856
2444.5	0.000542856
2445.5	0.000542857
2446.5	0.000542857
2447.5	0.000542857
2448.5	0.000542858
2449.5	0.000542858
2450.5	0.000542858
2451.5	0.000542859
2452.5	0.000542859
2453.5	0.000542859
2454.5	0.000542859
2455.5	0.00054286
2456.5	0.00054286
2457.5	0.00054286
2458.5	0.00054286
2459.5	0.00054286
2460.5	0.000542861
2461.5	0.000542861
2462.5	0.000542861
2463.5	0.000542862
2464.5	0.000542862
2465.5	0.000542862
2466.5	0.000542862
2467.5	0.000542862
2468.5	0.000542863
2469.5	0.000542863
2470.5	0.000542863
2471.5	0.000542863
2472.5	0.000542863
2473.5	0.000542864
2474.5	0.000542864
2475.5	0.000542864
2476.5	0.000542865
2477.5	0.000542865
2478.5	0.000542865
2479.5	0.000542866
2480.5	0.000542866
2481.5	0.000542866
2482.5	0.000542866
2483.5	0.000542866
2484.5	0.000542867
2485.5	0.000542867
2486.5	0.000542867
2487.5	0.000542868
2488.5	0.000542868
2489.5	0.000542868
2490.5	0.000542869
2491.5	0.000542869
2492.5	0.000542869
2493.5	0.00054287
2494.5	0.00054287
2495.5	0.00054287
2496.5	0.00054287
2497.5	0.000542871
2498.5	0.000542871
2499.5	0.000542871
2500.5	0.000542871
2599.5	0.000542328
2799.5	0.0005362
2999.5	0.000521646
3199.5	0.000501147
3399.5	0.000487132
3599.5	0.000476903
3799.5	0.0004688
3999.5	0.000462101
4199.5	0.00045646
4399.5	0.000451606
4599.5	0.000447324
4799.5	0.000443423
4999.5	0.000439752
5499.5	0.000431164
5999.5	0.000423387
6499.5	0.000416186
6999.5	0.000409695
7499.5	0.000403874
7999.5	0.000398637
8499.5	0.000393921
8999.5	0.000389683
9499.5	0.000385877
9999.5	0.000382468
10999.5	0.000376679
11999.5	0.000372024
12999.5	0.000368258
13999.5	0.000365188
14999.5	0.000362694
15999.5	0.000360606
16999.5	0.000358869
17999.5	0.00035741
18999.5	0.000356174
19999.5	0.000355116
21999.5	0.000353397
23999.5	0.000352236
25999.5	0.000351073
27999.5	0.000350127
29999.5	0.000349296
31999.5	0.000348536
33999.5	0.000347824
35999.5	0.000347148
37999.5	0.000346498
39999.5	0.000345868
41999.5	0.000345255
43999.5	0.000344654
45999.5	0.000344065
47999.5	0.000343485
49999.5	0.000342914
51765.5	0.000342416
51774.5	0.000342408
51865.5	0.000342358
51874.5	0.00034236
51965.5	0.000342347
51974.5	0.000342341
52065.5	0.000342322
52074.5	0.000342315
52165.5	0.000342295
52174.5	0.000342288
52265.5	0.000342268
52274.5	0.00034226
52365.5	0.00034224
52374.5	0.000342232
52465.5	0.000342212
52474.5	0.000342203
52565.5	0.000342183
52574.5	0.000342174
52665.5	0.000342154
52674.5	0.000342145
52765.5	0.000342125
52774.5	0.000342116
52865.5	0.000342096
52874.5	0.000342087
52965.5	0.000342066
52974.5	0.000342058
53065.5	0.000342037
53074.5	0.000342029
53165.5	0.000342008
53174.5	0.000342
53265.5	0.000341979
53274.5	0.000341971
53365.5	0.000341949
53374.5	0.000341941
53465.5	0.00034192
53474.5	0.000341913
53565.5	0.000341891
53574.5	0.000341884
53665.5	0.000341863
53674.5	0.000341855
53765.5	0.000341834
53774.5	0.000341826
53865.5	0.000341805
53874.5	0.000341798
53965.5	0.000341777
53974.5	0.000341769
54065.5	0.000341748
54074.5	0.000341741
54165.5	0.00034172
54174.5	0.000341713
54265.5	0.000341692
54274.5	0.000341685
54365.5	0.000341664
54374.5	0.000341657
54465.5	0.000341636
54474.5	0.000341629
54565.5	0.000341608
54574.5	0.000341601
54665.5	0.00034158
54674.5	0.000341573
54765.5	0.000341552
54774.5	0.000341546
54865.5	0.000341525
54874.5	0.000341518
54965.5	0.000341497
54974.5	0.000341491
55065.5	0.00034147
55074.5	0.000341463
55165.5	0.000341442
55174.5	0.000341436
55265.5	0.000341415
55274.5	0.000341409
55365.5	0.000341388
55374.5	0.000341381
55465.5	0.000341361
55474.5	0.000341354
55565.5	0.000341333
55574.5	0.000341327
55665.5	0.000341306
55674.5	0.0003413
55765.5	0.00034128
55774.5	0.000341273
55865.5	0.000341253
55874.5	0.000341246
55965.5	0.000341226
55974.5	0.000341219
56065.5	0.000341199
56074.5	0.000341193
56165.5	0.000341172
56174.5	0.000341166
56265.5	0.000341146
56274.5	0.000341139
56365.5	0.000341119
56374.5	0.000341113
56465.5	0.000341092
56474.5	0.000341086
56565.5	0.000341066
56574.5	0.000341059
56665.5	0.000341039
56674.5	0.000341033
56765.5	0.000341012
56774.5	0.000341006
56865.5	0.000340986
56874.5	0.000340979
56965.5	0.000340959
56974.5	0.000340953
57065.5	0.000340933
57074.5	0.000340926
57165.5	0.000340906
57174.5	0.0003409
57265.5	0.00034088
57274.5	0.000340873
57365.5	0.000340854
57374.5	0.000340847
57465.5	0.000340827
57474.5	0.00034082
57565.5	0.000340801
57574.5	0.000340794
57665.5	0.000340774
57674.5	0.000340767
57765.5	0.000340748
57774.5	0.000340741
57865.5	0.000340721
57874.5	0.000340714
57965.5	0.000340695
57974.5	0.000340688
58065.5	0.000340668
58074.5	0.000340661
58165.5	0.000340642
58174.5	0.000340634
58265.5	0.000340615
58274.5	0.000340608
58365.5	0.000340589
58374.5	0.000340581
58465.5	0.000340562
58474.5	0.000340555
58565.5	0.000340536
58574.5	0.000340528
58665.5	0.000340509
58674.5	0.000340502
58765.5	0.000340483
58774.5	0.000340475
58865.5	0.000340456
58874.5	0.000340449
58965.5	0.00034043
58974.5	0.000340422
59065.5	0.000340403
59074.5	0.000340395
59165.5	0.000340377
59174.5	0.000340369
59265.5	0.00034035
59274.5	0.000340342
59365.5	0.000340323
59374.5	0.000340316
59465.5	0.000340297
59474.5	0.000340289
59565.5	0.00034027
59574.5	0.000340262
59665.5	0.000340244
59674.5	0.000340236
59765.5	0.000340217
59774.5	0.000340209
59865.5	0.000340191
59874.5	0.000340183
59965.5	0.000340164
59974.5	0.000340156
60065.5	0.000340138
60074.5	0.00034013
60165.5	0.000340111
60174.5	0.000340103
60265.5	0.000340085
60274.5	0.000340077
60365.5	0.000340058
60374.5	0.00034005
60465.5	0.000340032
60474.5	0.000340023
60565.5	0.000340005
60574.5	0.000339997
60665.5	0.000339978
60674.5	0.00033997
60765.5	0.000339952
60774.5	0.000339944
60865.5	0.000339925
60874.5	0.000339917
60965.5	0.000339899
60974.5	0.00033989
61065.5	0.000339872
61074.5	0.000339864
61165.5	0.000339846
61174.5	0.000339837
61265.5	0.000339819
61274.5	0.000339811
61365.5	0.000339792
61374.5	0.000339784
61465.5	0.000339766
61474.5	0.000339757
61565.5	0.000339739
61574.5	0.000339731
61665.5	0.000339713
61674.5	0.000339704
61765.5	0.000339686
61774.5	0.000339677
61865.5	0.000339659
61874.5	0.000339651
61965.5	0.000339633
61974.5	0.000339624
62065.5	0.000339606
62074.5	0.000339598
62165.5	0.000339579
62174.5	0.000339571
62265.5	0.000339553
62274.5	0.000339544
62365.5	0.000339526
62374.5	0.000339518
62465.5	0.0003395
62474.5	0.000339491
62565.5	0.000339473
62574.5	0.000339464
62665.5	0.000339447
62674.5	0.000339438
62765.5	0.00033942
62774.5	0.000339411
62865.5	0.000339393
62874.5	0.000339385
62965.5	0.000339367
62974.5	0.000339358
63065.5	0.00033934
63074.5	0.000339331
63165.5	0.000339313
63174.5	0.000339305
63265.5	0.000339287
63274.5	0.000339278
63365.5	0.00033926
63374.5	0.000339251
63465.5	0.000339234
63474.5	0.000339225
63565.5	0.000339207
63574.5	0.000339198
63665.5	0.00033918
63674.5	0.000339171
63765.5	0.000339154
63774.5	0.000339145
63865.5	0.000339127
63874.5	0.000339118
63965.5	0.000339101
63974.5	0.000339092
64065.5	0.000339074
64074.5	0.000339065
64165.5	0.000339047
64174.5	0.000339039
64265.5	0.000339021
64274.5	0.000339012
64365.5	0.000338994
64374.5	0.000338985
64465.5	0.000338968
64474.5	0.000338959
64565.5	0.000338941
64574.5	0.000338932
64665.5	0.000338915
64674.5	0.000338906
64765.5	0.000338888
64774.5	0.000338879
64865.5	0.000338862
64874.5	0.000338853
64965.5	0.000338835
64974.5	0.000338826
65065.5	0.000338809
65074.5	0.000338799
65165.5	0.000338782
65174.5	0.000338773
65265.5	0.000338756
65274.5	0.000338746
65365.5	0.000338729
65374.5	0.00033872
65465.5	0.000338702
65474.5	0.000338693
65565.5	0.000338676
65574.5	0.000338667
65665.5	0.000338649
65674.5	0.00033864
65765.5	0.000338623
65774.5	0.000338614
65865.5	0.000338596
65874.5	0.000338587
65965.5	0.00033857
65974.5	0.000338561
66065.5	0.000338543
66074.5	0.000338534
66165.5	0.000338517
66174.5	0.000338508
66265.5	0.00033849
66274.5	0.000338481
66365.5	0.000338464
66374.5	0.000338455
66465.5	0.000338437
66474.5	0.000338428
66565.5	0.000338411
66574.5	0.000338402
66665.5	0.000338385
66674.5	0.000338375
66765.5	0.000338358
66774.5	0.000338349
66865.5	0.000338332
66874.5	0.000338322
66965.5	0.000338305
66974.5	0.000338296
67065.5	0.000338279
67074.5	0.000338269
67165.5	0.000338252
67174.5	0.000338243
67265.5	0.000338226
67274.5	0.000338216
67365.5	0.000338199
67374.5	0.00033819
67465.5	0.000338173
67474.5	0.000338164
67565.5	0.000338146
67574.5	0.000338137
67665.5	0.00033812
67674.5	0.000338111
67765.5	0.000338094
67774.5	0.000338084
67865.5	0.000338067
67874.5	0.000338058
67965.5	0.000338041
67974.5	0.000338031
68065.5	0.000338014
68074.5	0.000338005
68165.5	0.000337988
68174.5	0.000337979
68265.5	0.000337962
68274.5	0.000337952
68365.5	0.000337935
68374.5	0.000337926
68465.5	0.000337909
68474.5	0.0003379
68565.5	0.000337883
68574.5	0.000337873
68665.5	0.000337856
68674.5	0.000337847
68765.5	0.00033783
68774.5	0.000337821
68865.5	0.000337804
68874.5	0.000337794
68965.5	0.000337777
68974.5	0.000337768
69065.5	0.000337751
69074.5	0.000337742
69165.5	0.000337725
69174.5	0.000337715
69265.5	0.000337698
69274.5	0.000337689
69365.5	0.000337672
69374.5	0.000337663
69465.5	0.000337646
69474.5	0.000337636
69565.5	0.00033762
69574.5	0.00033761
69665.5	0.000337593
69674.5	0.000337584
69765.5	0.000337567
69774.5	0.000337558
69865.5	0.000337541
69874.5	0.000337531
69965.5	0.000337514
69974.5	0.000337505
70065.5	0.000337488
70074.5	0.000337479
70165.5	0.000337462
70174.5	0.000337452
70265.5	0.000337436
70274.5	0.000337426
70365.5	0.000337409
70374.5	0.0003374
70465.5	0.000337383
70474.5	0.000337374
70565.5	0.000337357
70574.5	0.000337347
70665.5	0.000337331
70674.5	0.000337321
70765.5	0.000337305
70774.5	0.000337295
70865.5	0.000337278
70874.5	0.000337269
70965.5	0.000337252
70974.5	0.000337243
71065.5	0.000337226
71074.5	0.000337217
71165.5	0.0003372
71174.5	0.00033719
71265.5	0.000337174
71274.5	0.000337164
71365.5	0.000337147
71374.5	0.000337138
71465.5	0.000337121
71474.5	0.000337112
71565.5	0.000337095
71574.5	0.000337086
71665.5	0.000337069
71674.5	0.000337059
71765.5	0.000337043
71774.5	0.000337033
71865.5	0.000337017
71874.5	0.000337007
71965.5	0.000336991
71974.5	0.000336981
72065.5	0.000336964
72074.5	0.000336955
72165.5	0.000336938
72174.5	0.000336929
72265.5	0.000336912
72274.5	0.000336903
72365.5	0.000336886
72374.5	0.000336877
72465.5	0.00033686
72474.5	0.00033685
72565.5	0.000336834
72574.5	0.000336824
72665.5	0.000336808
72674.5	0.000336798
72765.5	0.000336782
72774.5	0.000336772
72865.5	0.000336756
72874.5	0.000336746
72965.5	0.00033673
72974.5	0.00033672
73065.5	0.000336704
73074.5	0.000336694
73165.5	0.000336677
73174.5	0.000336668
73265.5	0.000336651
73274.5	0.000336642
73365.5	0.000336625
73374.5	0.000336616
73465.5	0.000336599
73474.5	0.00033659
73565.5	0.000336573
73574.5	0.000336564
73665.5	0.000336547
73674.5	0.000336538
73765.5	0.000336521
73774.5	0.000336512
73865.5	0.000336495
73874.5	0.000336486
73965.5	0.00033647
73974.5	0.00033646
74065.5	0.000336444
74074.5	0.000336434
74165.5	0.000336418
74174.5	0.000336408
74265.5	0.000336392
74274.5	0.000336382
74365.5	0.000336366
74374.5	0.000336356
74465.5	0.00033634
74474.5	0.00033633
74565.5	0.000336314
74574.5	0.000336304
74665.5	0.000336288
74674.5	0.000336278
74765.5	0.000336262
74774.5	0.000336252
74865.5	0.000336236
74874.5	0.000336227
74965.5	0.00033621
74974.5	0.000336201
75065.5	0.000336184
75074.5	0.000336175
75165.5	0.000336159
75174.5	0.000336149
75265.5	0.000336133
75274.5	0.000336123
75365.5	0.000336107
75374.5	0.000336097
75465.5	0.000336081
75474.5	0.000336071
75565.5	0.000336055
75574.5	0.000336045
75665.5	0.000336029
75674.5	0.00033602
75765.5	0.000336003
75774.5	0.000335994
75865.5	0.000335977
75874.5	0.000335968
75965.5	0.000335952
